Stock,Stock ID,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Majority Baseline,True Negative,False Positive,False Negative,True Positive,Best Epoch
AAPL,1,52.82258064516129,50.0,52.82258064516129,100.0,69.12928759894459,0.4393227637502446,0.0,52.82258064516129,0,234,0,262,7
GOOGL,4,50.806451612903224,50.0,50.806451612903224,100.0,67.37967914438502,0.4796952250845694,0.0,50.806451612903224,0,244,0,252,6
MSFT,5,55.04032258064516,50.0,55.04032258064516,100.0,71.00130039011704,0.5301171175610637,0.0,55.04032258064516,0,223,0,273,10
AMZN,6,55.24193548387096,52.79245775428982,54.310344827586206,96.18320610687023,69.42148760330579,0.5317739936060547,0.1134857160442583,52.82258064516129,22,212,10,252,11
