Stock,Stock ID,MAE,MSE,RMSE,Directional Accuracy,Best Epoch
AAPL,1,6.946266874819696,70.99218081713813,8.42568577726099,50.49900199600798,15
GOOGL,4,2.6556001004582632,10.834352418238566,3.2915577494916546,48.10379241516966,30
MSFT,5,38.33307009637951,2130.164298784044,46.15370298019482,51.09780439121756,6
AMZN,6,7.886037586691851,92.0058044344561,9.591965618915452,49.30139720558882,16
