Stock,Stock ID,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Majority Baseline,True Negative,False Positive,False Negative,True Positive,Best Epoch
AAPL,1,52.82258064516129,50.045671038037455,52.84552845528455,99.23664122137404,68.96551724137932,0.653161088275592,0.005098200433838354,52.82258064516129,2,232,2,260,20
GOOGL,4,50.806451612903224,50.0,50.806451612903224,100.0,67.37967914438502,0.5401053864168619,0.0,50.806451612903224,0,244,0,252,17
MSFT,5,55.04032258064516,50.0,55.04032258064516,100.0,71.00130039011704,0.531340856452964,0.0,55.04032258064516,0,223,0,273,11
AMZN,6,52.82258064516129,50.0,52.82258064516129,100.0,69.12928759894459,0.5477751680041757,0.0,52.82258064516129,0,234,0,262,6
