Stock,Stock ID,Accuracy,Precision,Recall,F1-Score,ROC-AUC,True Negative,False Positive,False Negative,True Positive,Best Epoch
AAPL,1,51.09780439121756,51.09780439121756,100.0,67.63540290620872,0.47162786989795924,0,245,0,256,7
GOOGL,4,49.50099800399202,49.50099800399202,100.0,66.22162883845127,0.5019364401377024,0,253,0,248,6
MSFT,5,49.30139720558882,49.795081967213115,96.42857142857143,65.67567567567568,0.46697902721999107,4,245,9,243,13
AMZN,6,50.0998003992016,50.0998003992016,100.0,66.75531914893617,0.4551394422310756,0,250,0,251,6
