Stock,Stock ID,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Majority Baseline,True Negative,False Positive,False Negative,True Positive,Best Epoch
AAPL,1,52.82258064516129,50.0,52.82258064516129,100.0,69.12928759894459,0.4943155868728387,0.0,52.82258064516129,0,234,0,262,7
GOOGL,4,50.806451612903224,50.0,50.806451612903224,100.0,67.37967914438502,0.5077738745771533,0.0,50.806451612903224,0,244,0,252,6
MSFT,5,55.04032258064516,50.0,55.04032258064516,100.0,71.00130039011704,0.5366546756681285,0.0,55.04032258064516,0,223,0,273,7
AMZN,6,55.443548387096776,53.57702094343316,54.9636803874092,86.64122137404581,67.25925925925927,0.5450022835519018,0.09567445146905075,52.82258064516129,48,186,35,227,26
