Stock,Stock ID,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Majority Baseline,True Negative,False Positive,False Negative,True Positive,Best Epoch
AAPL,1,52.82258064516129,50.0,52.82258064516129,100.0,69.12928759894459,0.3866053369870164,0.0,52.82258064516129,0,234,0,262,7
GOOGL,4,50.806451612903224,50.0,50.806451612903224,100.0,67.37967914438502,0.4984061930783243,0.0,50.806451612903224,0,244,0,252,7
MSFT,5,55.04032258064516,50.0,55.04032258064516,100.0,71.00130039011704,0.5668128582926789,0.0,55.04032258064516,0,223,0,273,14
AMZN,6,54.03225806451613,51.441899915182354,53.57142857142857,97.32824427480917,69.10569105691057,0.527745155607751,0.0731821580468328,52.82258064516129,13,221,7,255,14
